x, y,10^y,f_H
1.155307248,-0.265100767,0.543124299,0.351964064
4.271667512,-0.449245195,0.355430592,0.26222707
6.995370813,-1.274748606,0.053119184,0.05043986
9.086990799,-1.385486705,0.041163595,0.039536145
13.21276921,-1.526426299,0.029755942,0.028896111
