x, y,f_H
1.47464513,2.171747973,0.684716438
2.985801319,1.760162584,0.637702501
3.04665324,1.727134081,0.633314692
4.070993598,0.510162544,0.337819625
4.811358945,0.103658407,0.093922546
8.918863603,0,0
11.19066834,0,0
